"Data Import Template"
"Table:","Designation"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Designation","","","","","","~","Designation Skill","skills","",""
"Column Labels:","ID","Designation","Created On","Created By","Description","Appraisal Template","","ID","Created On","Created By","Skill"
"Column Name:","name","designation_name","creation","owner","description","appraisal_template","~","name","creation","owner","skill"
"Mandatory:","Yes","Yes","No","No","No","No","","Yes","No","No","No"
"Type:","Data","Data","Datetime","Link","Text","Link","","Data","Datetime","Link","Link"
"Info:","","","dd-mm-yyyy","Valid User","","Valid Appraisal Template","","","dd-mm-yyyy","Valid User","Valid Skill"
"Start entering data below this line"
"","""Accountant""","Accountant","2024-06-28 12:06:36.546599","Administrator","","","","","","",""
"","""Administrative Assistant""","Administrative Assistant","2024-06-28 12:06:36.563381","Administrator","","","","","","",""
"","""Administrative Officer""","Administrative Officer","2024-06-28 12:06:36.571846","Administrator","","","","","","",""
"","""Analyst""","Analyst","2024-06-28 12:06:36.577744","Administrator","","","","","","",""
"","""Associate""","Associate","2024-06-28 12:06:36.584597","Administrator","","","","","","",""
"","""Business Analyst""","Business Analyst","2024-06-28 12:06:36.592654","Administrator","","","","","","",""
"","""Business Development Manager""","Business Development Manager","2024-06-28 12:06:36.601850","Administrator","","","","","","",""
"","""Chief Executive Officer""","Chief Executive Officer","2024-06-28 12:06:36.620803","Administrator","","","","","","",""
"","""Chief Financial Officer""","Chief Financial Officer","2024-06-28 12:06:36.625624","Administrator","","","","","","",""
"","""Chief Operating Officer""","Chief Operating Officer","2024-06-28 12:06:36.631493","Administrator","","","","","","",""
"","""Chief Technology Officer""","Chief Technology Officer","2024-06-28 12:06:36.636743","Administrator","","","","","","",""
"","""Consultant""","Consultant","2024-06-28 12:06:36.611910","Administrator","","","","","","",""
"","""Customer Service Representative""","Customer Service Representative","2024-06-28 12:06:36.642334","Administrator","","","","","","",""
"","""Designer""","Designer","2024-06-28 12:06:36.646303","Administrator","","","","","","",""
"","""Engineer""","Engineer","2024-06-28 12:06:36.650839","Administrator","","","","","","",""
"","""Executive Assistant""","Executive Assistant","2024-06-28 12:06:36.657305","Administrator","","","","","","",""
"","""Finance Manager""","Finance Manager","2024-06-28 12:06:36.664260","Administrator","","","","","","",""
"","""Head of Marketing and Sales""","Head of Marketing and Sales","2024-06-28 12:06:36.677298","Administrator","","","","","","",""
"","""HR Manager""","HR Manager","2024-06-28 12:06:36.670273","Administrator","","","","","","",""
"","""Junior Accountant""","Junior Accountant","2024-07-04 16:26:56.180631","surafel@getson.et","","","","","","",""
"","""Manager""","Manager","2024-06-28 12:06:36.685218","Administrator","","","","","","",""
"","""Managing Director""","Managing Director","2024-06-28 12:06:36.692592","Administrator","","","","","","",""
"","""MANAGING PARTNER""","MANAGING PARTNER","2024-07-04 14:44:35.286688","surafel@getson.et","","","","","","",""
"","""Marketing Manager""","Marketing Manager","2024-06-28 12:06:36.700122","Administrator","","","","","","",""
"","""Marketing Specialist""","Marketing Specialist","2024-06-28 12:06:36.706563","Administrator","","","","","","",""
"","""MESSENGER""","MESSENGER","2024-07-04 14:55:48.622982","surafel@getson.et","","","","","","",""
"","""President""","President","2024-06-28 12:06:36.714488","Administrator","","","","","","",""
"","""Product Manager""","Product Manager","2024-06-28 12:06:36.728050","Administrator","","","","","","",""
"","""Project Manager""","Project Manager","2024-06-28 12:06:36.736915","Administrator","","","","","","",""
"","""Researcher""","Researcher","2024-06-28 12:06:36.746030","Administrator","","","","","","",""
"","""Sales Representative""","Sales Representative","2024-06-28 12:06:36.752338","Administrator","","","","","","",""
"","""Secretary""","Secretary","2024-06-28 12:06:36.758311","Administrator","","","","","","",""
"","""SENIOR Accountant""","SENIOR Accountant","2024-07-04 14:58:14.106995","surafel@getson.et","","","","","","",""
"","""Software Developer""","Software Developer","2024-06-28 12:06:36.763316","Administrator","","","","","","",""
"","""STORE KEEPER""","STORE KEEPER","2024-07-04 16:26:13.776253","surafel@getson.et","","","","","","",""
"","""Vice President""","Vice President","2024-06-28 12:06:36.769105","Administrator","","","","","","",""
