"Data Import Template"
"Table:","Dashboard Chart"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Dashboard Chart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","Dashboard Chart Field","y_axis","","","","~","Has Role","roles","",""
"Column Labels:","ID","Chart Name","Filters JSON","Created On","Created By","Is Standard","Module","Chart Type","Report Name","Use Report Chart","X Field","Chart Source","Document Type","Parent Document Type","Time Series Based On","Value Based On","Group By Type","Group By Based On","Aggregate Function Based On","Number of Groups","Is Public","Year","Timespan","From Date","To Date","Time Interval","Time Series","Type","Dynamic Filters JSON","Custom Options","Color","Last Synced On","","ID","Created On","Created By","Y Field","Color","","ID","Created On","Created By","Role"
"Column Name:","name","chart_name","filters_json","creation","owner","is_standard","module","chart_type","report_name","use_report_chart","x_field","source","document_type","parent_document_type","based_on","value_based_on","group_by_type","group_by_based_on","aggregate_function_based_on","number_of_groups","is_public","heatmap_year","timespan","from_date","to_date","time_interval","timeseries","type","dynamic_filters_json","custom_options","color","last_synced_on","~","name","creation","owner","y_field","color","~","name","creation","owner","role"
"Mandatory:","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","No","No","No","No","","Yes","No","No","No"
"Type:","Data","Data","Code","Datetime","Link","Check","Link","Select","Link","Check","Select","Link","Link","Link","Select","Select","Select","Select","Select","Int","Check","Select","Select","Date","Date","Select","Check","Select","Code","Code","Color","Datetime","","Data","Datetime","Link","Select","Color","","Data","Datetime","Link","Link"
"Info:","","","","dd-mm-yyyy","Valid User","0 or 1","Valid Module Def","One of: Count, Sum, Average, Group By, Custom, Report","Valid Report","0 or 1","","Valid Dashboard Chart Source","Valid DocType","Valid DocType","","","One of: Count, Sum, Average","","","Integer","0 or 1","","One of: Last Year, Last Quarter, Last Month, Last Week, Select Date Range","dd-mm-yyyy","dd-mm-yyyy","One of: Yearly, Quarterly, Monthly, Weekly, Daily","0 or 1","One of: Line, Bar, Percentage, Pie, Donut, Heatmap","","","","dd-mm-yyyy","","","dd-mm-yyyy","Valid User","","","","","dd-mm-yyyy","Valid User","Valid Role"
"Start entering data below this line"
"","""Accounts Payable Ageing""","Accounts Payable Ageing","{""ageing_based_on"":""Due Date"",""range1"":30,""range2"":60,""range3"":90,""range4"":120,""group_by_party"":0,""based_on_payment_terms"":0}","2020-07-17 11:25:34.564015","Administrator",1,"Accounts","Report","Accounts Payable",1,"","","","","","","","","",0,1,"","","","","",0,"Donut","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""report_date"":""frappe.datetime.now_date()""}","","","","","","","","","","","","","",""
"","""Accounts Receivable Ageing""","Accounts Receivable Ageing","{""ageing_based_on"":""Due Date"",""range1"":30,""range2"":60,""range3"":90,""range4"":120,""group_by_party"":0,""based_on_payment_terms"":0,""show_future_payments"":0,""show_delivery_notes"":0,""show_sales_person"":0}","2020-07-17 11:25:34.535388","Administrator",1,"Accounts","Report","Accounts Receivable",1,"","","","","","","","","",0,1,"","","","","",0,"Donut","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""report_date"":""frappe.datetime.now_date()""}","","","","","","","","","","","","","",""
"","""Asset Value Analytics""","Asset Value Analytics","{""status"":""In Location"",""filter_based_on"":""Fiscal Year"",""period_start_date"":""2020-04-01"",""period_end_date"":""2021-03-31"",""date_based_on"":""Purchase Date"",""group_by"":""--Select a group--""}","2020-07-14 18:23:53.091233","Administrator",1,"Assets","Report","Fixed Asset Register",1,"","","","","","","Count","","",0,1,"","Last Year","","","Yearly",0,"Bar","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""from_fiscal_year"":""frappe.sys_defaults.fiscal_year"",""to_fiscal_year"":""frappe.sys_defaults.fiscal_year"",""from_date"":""frappe.datetime.add_months(frappe.datetime.nowdate(), -12)"",""to_date"":""frappe.datetime.nowdate()""}","{""type"": ""bar"", ""barOptions"": {""stacked"": 1}, ""axisOptions"": {""shortenYAxisNumbers"": 1}, ""tooltipOptions"": {}}","","","","","","","","","","","","",""
"","""Attendance Count""","Attendance Count","{""summarized_view"":0}","2020-07-22 11:56:32.730068","Administrator",1,"HR","Report","Monthly Attendance Sheet",1,"","","","","","","Count","","",0,1,"","Last Year","","","Yearly",0,"Line","{""month"":""frappe.datetime.str_to_obj(frappe.datetime.get_today()).getMonth() + 1"",""year"":""frappe.datetime.str_to_obj(frappe.datetime.get_today()).getFullYear();"",""company"":""frappe.defaults.get_user_default(\""Company\"")""}","{
		""type"": ""line"",
		""axisOptions"": {
			""shortenYAxisNumbers"": 1
		},
		""tooltipOptions"": {}
	}","","","","","","","","","","","","",""
"","""Bank Balance""","Bank Balance","{}","2020-07-17 11:25:34.620221","Administrator",1,"Accounts","Custom","",0,"","Account Balance Timeline","","","","","","","",0,1,"","Last Year","","","Quarterly",0,"Line","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""account"":""locals[\"":Company\""][frappe.defaults.get_user_default(\""Company\"")][\""default_bank_account\""]""}","","","22-07-2020 12:19:59","","","","","","","","","","",""
"","""Budget Variance""","Budget Variance","{""period"":""Monthly"",""budget_against"":""Cost Center"",""show_cumulative"":0}","2020-07-17 11:25:34.593061","Administrator",1,"Accounts","Report","Budget Variance Report",1,"","","","","","","","","",0,1,"","","","","",0,"Bar","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""from_fiscal_year"":""erpnext.utils.get_fiscal_year()"",""to_fiscal_year"":""erpnext.utils.get_fiscal_year()""}","","","","","","","","","","","","","",""
"","""Category-wise Asset Value""","Category-wise Asset Value","{""status"":""In Location"",""group_by"":""Asset Category"",""is_existing_asset"":0}","2020-07-14 18:23:53.146304","Administrator",1,"Assets","Report","Fixed Asset Register",0,"asset_category","","","","","","","","",0,1,"","","","","",0,"Donut","{""company"":""frappe.defaults.get_user_default(\""Company\"")"",""from_date"":""frappe.datetime.add_months(frappe.datetime.nowdate(), -12)"",""to_date"":""frappe.datetime.nowdate()""}","{""type"": ""donut"", ""height"": 300, ""axisOptions"": {""shortenYAxisNumbers"": 1}}","","","","""b9732eac39""","2020-07-14 18:23:53.146304","Administrator","asset_value","","","","","",""
"","""Claims by Type""","Claims by Type","[]","2022-08-31 23:04:43.377345","Administrator",1,"HR","Group By","",0,"","","Expense Claim Detail","Expense Claim","","","Count","expense_type","",0,1,"","Last Year","","","Yearly",0,"Pie","[]","","","16-09-2022 11:36:29","","","","","","","","","","",""
"","""Completed Operation""","Completed Operation","[[""Work Order Operation"",""docstatus"",""="",1,false]]","2020-07-08 22:40:22.441658","Administrator",1,"Manufacturing","Sum","",0,"","","Work Order Operation","Work Order","creation","completed_qty","Count","","",0,1,"","Last Year","","","Quarterly",1,"Line","","","","21-07-2020 16:57:09","","","","","","","","","","",""
"","""Delivery Trends""","Delivery Trends","[[""Delivery Note"",""docstatus"",""="",1]]","2020-07-20 21:01:04.255291","Administrator",1,"Stock","Sum","",0,"","","Delivery Note","","posting_date","base_net_total","","","",0,1,"","Last Year","","","Monthly",1,"Bar","","","#4d4da8","","","","","","","","","","","",""
"","""Department Wise Employee Count""","Department Wise Employee Count","[[""Employee"",""status"",""="",""Active"",false]]","2020-07-22 11:56:32.760730","Administrator",1,"HR","Group By","",0,"","","Employee","","","","Count","department","",0,1,"","Last Year","","","Yearly",0,"Pie","[[""Employee"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","22-08-2022 14:08:17","","","","","","","","","","",""
"","""Department wise Expense Claims""","Department wise Expense Claims","[[""Expense Claim"",""docstatus"",""="",""1"",false]]","2022-08-31 23:06:51.144716","Administrator",1,"HR","Group By","",0,"","","Expense Claim","","","","Count","department","",0,1,"","Last Year","","","Yearly",0,"Bar","[[""Expense Claim"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","16-09-2022 12:36:29","","","","","","","","","","",""
"","""Department Wise Openings""","Department Wise Openings","[[""Job Opening"",""status"",""="",""Open"",false]]","2020-07-22 11:56:32.849775","Administrator",1,"HR","Group By","",0,"","","Job Opening","","","","Count","department","planned_vacancies",0,1,"","Last Year","","","Monthly",0,"Bar","[[""Job Opening"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","21-08-2022 23:19:31","","","","","","","","","","",""
"","""Department Wise Salary(Last Month)""","Department Wise Salary(Last Month)","[[""Salary Slip"",""docstatus"",""="",""1"",false],[""Salary Slip"",""start_date"",""Timespan"",""last month"",false]]","2020-07-22 11:56:34.511940","Administrator",1,"Payroll","Group By","",0,"","","Salary Slip","","","","Sum","department","rounded_total",0,1,"","Last Year","","","Monthly",0,"Bar","[[""Salary Slip"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","22-07-2020 12:46:05","","","","","","","","","","",""
"","""Department wise Timesheet Hours""","Department wise Timesheet Hours","[[""Timesheet"",""start_date"",""Timespan"",""this month"",false],[""Timesheet"",""docstatus"",""="",""1"",false]]","2022-08-21 17:32:09.625319","Administrator",1,"HR","Group By","",0,"","","Timesheet","","","","Sum","department","total_hours",0,1,"","Last Year","","","Yearly",0,"Bar","[[""Timesheet"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","05-07-2024 14:34:01","","","","","","","","","","",""
"","""Designation Wise Employee Count""","Designation Wise Employee Count","[[""Employee"",""status"",""="",""Active"",false]]","2020-07-22 11:56:32.790337","Administrator",1,"HR","Group By","",0,"","","Employee","","","","Count","designation","",0,1,"","Last Year","","","Yearly",0,"Pie","[[""Employee"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","22-08-2022 12:33:54","","","","","","","","","","",""
"","""Designation Wise Openings""","Designation Wise Openings","[[""Job Opening"",""status"",""="",""Open"",false]]","2020-07-22 11:56:32.820217","Administrator",1,"HR","Group By","",0,"","","Job Opening","","","","Count","designation","planned_vacancies",0,1,"","Last Year","","","Monthly",0,"Bar","[[""Job Opening"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","20-08-2022 23:20:41","","","","","","","","","","",""
"","""Designation Wise Salary(Last Month)""","Designation Wise Salary(Last Month)","[[""Salary Slip"",""docstatus"",""="",""1"",false],[""Salary Slip"",""start_date"",""Timespan"",""last month"",false]]","2020-07-22 11:56:34.550339","Administrator",1,"Payroll","Group By","",0,"","","Salary Slip","","","","Sum","designation","rounded_total",0,1,"","Last Year","","","Monthly",0,"Bar","[[""Salary Slip"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","22-07-2020 12:22:18","","","","","","","","","","",""
"","""Employee Advance Status""","Employee Advance Status","[[""Employee Advance"",""docstatus"",""="",""1"",false]]","2022-08-31 23:06:16.063039","Administrator",1,"HR","Group By","",0,"","","Employee Advance","","","","Count","status","",0,1,"","Last Year","","","Yearly",0,"Pie","[[""Employee Advance"",""company"",""="",""frappe.defaults.get_user_default(\""Company\"")""]]","","","16-09-2022 12:36:29","","","","","","","","","","",""
