"Data Import Template"
"Table:","Customer Group"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Customer Group","","","","","","","","~","Party Account","accounts","","","","","~","Customer Credit Limit","credit_limits","","","",""
"Column Labels:","ID","Customer Group Name","Created On","Created By","Parent Customer Group","Is Group","Default Price List","Default Payment Terms Template","","ID","Company","Created On","Created By","Default Account","Advance Account","","ID","Created On","Created By","Company","Credit Limit","Bypass Credit Limit Check at Sales Order"
"Column Name:","name","customer_group_name","creation","owner","parent_customer_group","is_group","default_price_list","payment_terms","~","name","company","creation","owner","account","advance_account","~","name","creation","owner","company","credit_limit","bypass_credit_limit_check"
"Mandatory:","Yes","Yes","No","No","No","No","No","No","","Yes","Yes","No","No","No","No","","Yes","No","No","No","No","No"
"Type:","Data","Data","Datetime","Link","Link","Check","Link","Link","","Data","Link","Datetime","Link","Link","Link","","Data","Datetime","Link","Link","Currency","Check"
"Info:","","","dd-mm-yyyy","Valid User","Valid Customer Group","0 or 1","Valid Price List","Valid Payment Terms Template","","","Valid Company","dd-mm-yyyy","Valid User","Valid Account","Valid Account","","","dd-mm-yyyy","Valid User","Valid Company","","0 or 1"
"Start entering data below this line"
"","""All Customer Groups""","All Customer Groups","2024-06-28 12:06:35.066080","Administrator","",1,"","","","","","","","","","","","","","","",""
"","""Individual""","Individual","2024-06-28 12:06:35.095087","Administrator","All Customer Groups",0,"","","","","","","","","","","","","","","",""
"","""Commercial""","Commercial","2024-06-28 12:06:35.129445","Administrator","All Customer Groups",0,"","","","","","","","","","","","","","","",""
"","""Non Profit""","Non Profit","2024-06-28 12:06:35.158686","Administrator","All Customer Groups",0,"","","","","","","","","","","","","","","",""
"","""Government""","Government","2024-06-28 12:06:35.174502","Administrator","All Customer Groups",0,"","","","","","","","","","","","","","","",""
"","""COMPOUNDING""","COMPOUNDING","2024-07-13 10:52:24.215716","Administrator","All Customer Groups",0,"","","","","","","","","","","","","","","",""
