"Data Import Template"
"Table:","Brand"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Brand","","","","","~","Item Default","brand_defaults","","","","","","","","","","","","",""
"Column Labels:","ID","Brand Name","Created On","Created By","Description","","ID","Company","Created On","Created By","Default Warehouse","Default Price List","Default Discount Account","Default Buying Cost Center","Default Supplier","Default Expense Account","Default Provisional Account","Default Selling Cost Center","Default Income Account","Deferred Expense Account","Deferred Revenue Account"
"Column Name:","name","brand","creation","owner","description","~","name","company","creation","owner","default_warehouse","default_price_list","default_discount_account","buying_cost_center","default_supplier","expense_account","default_provisional_account","selling_cost_center","income_account","deferred_expense_account","deferred_revenue_account"
"Mandatory:","Yes","Yes","No","No","No","","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data","Data","Datetime","Link","Text","","Data","Link","Datetime","Link","Link","Link","Link","Link","Link","Link","Link","Link","Link","Link","Link"
"Info:","","","dd-mm-yyyy","Valid User","","","","Valid Company","dd-mm-yyyy","Valid User","Valid Warehouse","Valid Price List","Valid Account","Valid Cost Center","Valid Supplier","Valid Account","Valid Account","Valid Cost Center","Valid Account","Valid Account","Valid Account"
"Start entering data below this line"
"","""ALPHA CHEMIKA""","ALPHA CHEMIKA","2024-07-01 17:32:49.972625","Administrator","","","","","","","","","","","","","","","","",""
"","""BIOBASE""","BIOBASE","2024-07-01 17:32:27.122788","Administrator","","","","","","","","","","","","","","","","",""
"","""CARELAB MED""","CARELAB MED","2024-07-01 17:32:42.722128","Administrator","","","","","","","","","","","","","","","","",""
"","""CARLO ERBA""","CARLO ERBA","2024-07-01 17:31:18.859188","Administrator","","","","","","","","","","","","","","","","",""
"","""CONDALAB""","CONDALAB","2024-07-01 17:32:13.371573","Administrator","","","","","","","","","","","","","","","","",""
"","""DRAWELL""","DRAWELL","2024-07-01 17:32:21.397762","Administrator","","","","","","","","","","","","","","","","",""
"","""JAPSON""","JAPSON","2024-07-01 17:35:20.662540","Administrator","","","","","","","","","","","","","","","","",""
"","""LOBA CHEM""","LOBA CHEM","2024-07-01 17:35:01.170928","Administrator","","","","","","","","","","","","","","","","",""
"","""SRL""","SRL","2024-07-01 17:35:14.729179","Administrator","","","","","","","","","","","","","","","","",""
"","""TECHNO PHARMCHEM""","TECHNO PHARMCHEM","2024-07-01 17:31:55.838154","Administrator","","","","","","","","","","","","","","","","",""
"","""TEKKIM""","TEKKIM","2024-07-01 17:35:08.407297","Administrator","","","","","","","","","","","","","","","","",""
"","""WHATMAN""","WHATMAN","2024-07-01 17:32:35.048821","Administrator","","","","","","","","","","","","","","","","",""
"","""WITEG""","WITEG","2024-07-01 17:32:03.155562","Administrator","","","","","","","","","","","","","","","","",""
