"Data Import Template"
"Table:","Dashboard"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Dashboard","","","","","","","","~","Dashboard Chart Link","charts","","","","~","Number Card Link","cards","",""
"Column Labels:","ID","Dashboard Name","Created On","Created By","Is Default","Is Standard","Module","Chart Options","","ID","Created On","Created By","Chart","Width","","ID","Created On","Created By","Card"
"Column Name:","name","dashboard_name","creation","owner","is_default","is_standard","module","chart_options","~","name","creation","owner","chart","width","~","name","creation","owner","card"
"Mandatory:","Yes","Yes","No","No","No","No","No","No","","Yes","No","No","No","No","","Yes","No","No","No"
"Type:","Data","Data","Datetime","Link","Check","Check","Link","Code","","Data","Datetime","Link","Link","Select","","Data","Datetime","Link","Link"
"Info:","","","dd-mm-yyyy","Valid User","0 or 1","0 or 1","Valid Module Def","","","","dd-mm-yyyy","Valid User","Valid Dashboard Chart","One of: Half, Full","","","dd-mm-yyyy","Valid User","Valid Number Card"
"Start entering data below this line"
"","""Accounts""","Accounts","2020-07-17 11:25:34.796608","Administrator",0,1,"Accounts","","","""87cf7c0188""","2020-07-17 11:25:34.796608","Administrator","Profit and Loss","Full","","""7130c3c2f8""","2020-07-17 11:25:34.796608","Administrator","Total Outgoing Bills"
"","","","","","","","","","","""65a3f7e637""","2020-07-17 11:25:34.796608","Administrator","Incoming Bills (Purchase Invoice)","Half","","""66b45bb914""","2020-07-17 11:25:34.796608","Administrator","Total Incoming Bills"
"","","","","","","","","","","""4521577b42""","2020-07-17 11:25:34.796608","Administrator","Outgoing Bills (Sales Invoice)","Half","","""b95c0ecd7d""","2020-07-17 11:25:34.796608","Administrator","Total Incoming Payment"
"","","","","","","","","","","""6e59ade885""","2020-07-17 11:25:34.796608","Administrator","Accounts Receivable Ageing","Half","","""135c797d97""","2020-07-17 11:25:34.796608","Administrator","Total Outgoing Payment"
"","","","","","","","","","","""280693ce78""","2020-07-17 11:25:34.796608","Administrator","Accounts Payable Ageing","Half","","","","",""
"","","","","","","","","","","""86638fb0fa""","2020-07-17 11:25:34.796608","Administrator","Budget Variance","Full","","","","",""
"","","","","","","","","","","""c636ab1db9""","2020-07-17 11:25:34.796608","Administrator","Bank Balance","Full","","","","",""
"","""Asset""","Asset","2020-07-14 18:23:53.343082","Administrator",0,1,"Assets","","","""190679e6d7""","2020-07-14 18:23:53.343082","Administrator","Asset Value Analytics","Full","","""1134ef0a65""","2020-07-14 18:23:53.343082","Administrator","Total Assets"
"","","","","","","","","","","""c61061fb93""","2020-07-14 18:23:53.343082","Administrator","Category-wise Asset Value","Half","","""401f27231d""","2020-07-14 18:23:53.343082","Administrator","New Assets (This Year)"
"","","","","","","","","","","""a660a733f6""","2020-07-14 18:23:53.343082","Administrator","Location-wise Asset Value","Half","","""f1f2fdfe19""","2020-07-14 18:23:53.343082","Administrator","Asset Value"
