"Data Import Template"
"Table:","Custom DocPerm"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Custom DocPerm","","","","","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Role","Created On","Created By","Reference Document Type","If user is the owner","Level","Select","Read","Write","Create","Delete","Submit","Cancel","Amend","Report","Export","Import","Share","Print","Email"
"Column Name:","name","role","creation","owner","parent","if_owner","permlevel","select","read","write","create","delete","submit","cancel","amend","report","export","import","share","print","email"
"Mandatory:","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data","Link","Datetime","Link","Data","Check","Int","Check","Check","Check","Check","Check","Check","Check","Check","Check","Check","Check","Check","Check","Check"
"Info:","","Valid Role","dd-mm-yyyy","Valid User","","0 or 1","Integer","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1"
"Start entering data below this line"
"","""0067606fcc""","Manufacturing User","2023-05-29 13:02:17.121296","Administrator","Warehouse",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""02fd2dee5a""","Employee","2021-03-23 14:54:45.047051","Administrator","Employee Referral",0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1
"","""034f57655e""","Sales User","2013-01-10 16:34:24","Administrator","Terms and Conditions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"","""03bf494cb0""","HR Manager","2013-01-10 16:34:13","Administrator","Branch",0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
"","""0570bcfb10""","Employee Self Service","2024-06-28 14:30:45.778437","Administrator","Journal Entry",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""05d435cda6""","Employee Self Service","2024-06-28 14:30:41.984655","Administrator","Travel Request",0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1
"","""070a8aa8b2""","Employee","2013-02-20 11:18:11","Administrator","Leave Application",0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1
"","""07f6d29f4a""","Employee Self Service","2024-06-28 14:30:43.800611","Administrator","Employee Tax Exemption Category",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"","""0813f194b2""","Sales Manager","2013-06-11 14:26:44","Administrator","Customer",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
"","""094c3b5c80""","Accounts User","2022-01-25 10:29:55.938239","Administrator","Company",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"","""0a91244fda""","System Manager","2013-01-28 10:06:02","Administrator","Currency",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""0bc9dc5517""","HR Manager","2022-02-21 11:54:09.632218","Administrator","Employee",0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"","""0c35c13e55""","Accounts Manager","2018-04-13 17:42:43.252224","Administrator","Finance Book",0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1
"","""0c3645eb51""","System Manager","2018-04-13 15:37:40.918990","Administrator","Attendance Request",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
